type,key,EN,FR,ES,source_files,usage
template,common.no_data,no data,données indisponibles,datos no disponibles,charts_sampling.R,Chart annotation
template,common.note,Note,Note,Nota,charts_sampling.R,Caption label
template,common.others,Others,Autres,Otros,charts_sampling.R; charts_score.R,Generated category label
template,common.overall,Overall,Global,General,charts_score.R; export.R,Generic displayed label
template,common.percentage,Percentage (%),Pourcentage (%),Porcentaje (%),charts.R; tables.R,Table header
template,common.respondents,Respondents,Répondants,Personas encuestadas,charts_sampling.R,Map popup label
template,common.source,Source,Source,Fuente,charts_sampling.R,Caption label
template,common.total,Total,Total,Total,charts.R; tables.R,Table total row
template,common.total_respondents,Total respondents,Nombre total de répondants,Número total de personas encuestadas,charts_sampling.R; charts.R; tables.R,Legend/table header
template,drivers.behaviours_title,Interactions with the Red Cross,Interactions avec la Croix-Rouge,Interacciones con la Cruz Roja,,
template,drivers.exp_title,Past experiences with the Red Cross,Expériences passées avec la Croix-Rouge,Experiencias previas con la Cruz Roja,,
template,drivers.intention_subtitle,In the next 12 months,Au cours des 12 prochains mois,Durante los próximos 12 meses,,
template,drivers.intention_title,Intentions toward the Red Cross,Intentions envers la Croix-Rouge,Intenciones hacia la Cruz Roja,,
template,drivers.opinions_subtitle,Respondents' opinions and perceptions about,Opinions et perceptions des répondants concernant %s,Opiniones y percepciones de las personas encuestadas sobre %s,charts_drivers.R,Chart title
template,drivers.responses_by_subdimension,Survey responses by subdimension,Réponses à l’enquête par sous-dimension,Respuestas de la encuesta por subdimensión,charts_score.R,Data label
template,export.extra_questions,Extra questions,Questions supplémentaires,Preguntas adicionales,tables.R,Error message
template,export.factor,Factor,Facteur,Factor,export.R,Export group/name
template,export.geographic,Geographic,Géographique,Geográfico,export.R,Worksheet label
template,export.sampling_age,Sampling - age,Échantillonnage - âge,Muestreo - edad,export.R,Worksheet/export label
template,export.sampling_gender,Sampling - gender,Échantillonnage - genre,Muestreo - género,export.R,Worksheet label
template,export.sampling_geographic,Sampling - geographic,Échantillonnage - géographie,Muestreo - geografía,export.R,Worksheet label
template,export.sampling_profile,Sampling - profile,Échantillonnage - profil,Muestreo - perfil,export.R,Worksheet label
template,export.series,Series,Série,Serie,export.R,Export group
template,report.behaviours_questions,Behaviours,Comportements,Comportamientos,,
template,report.channel_questions,Channels,Canaux,Canales,,
template,report.competencies,Competencies,Compétences,Competencias,,
template,report.contextual_questions,Contextual questions,Questions contextuelles,Preguntas contextuales,,
template,report.contextual_questions.text,"This section presents findings on community members’ experiences with and behaviors toward the Red Cross. These questions explore interactions, perceptions, and engagement patterns, offering insights into how the Red Cross is viewed and utilized within the community.","Cette section présente les résultats relatifs aux expériences des membres de la communauté avec la Croix-Rouge ainsi qu'à leurs comportements à son égard. Ces questions explorent les interactions, les perceptions et les modes d'engagement, afin de mieux comprendre comment la Croix-Rouge est perçue et sollicitée au sein des communautés.","sta sección presenta los resultados sobre las experiencias de los miembros de la comunidad con la Cruz Roja y sus comportamientos hacia ella. Estas preguntas exploran las interacciones, las percepciones y los patrones de participación, con el fin de comprender mejor cómo la Cruz Roja es percibida y utilizada dentro de las comunidades.",,
template,report.correlation,Correlation,Corrélation,Correlación,,
template,report.coverage,Coverage,Couverture,Cobertura,,
template,report.download,Download,Télécharger,Descargar,,
template,report.download_button,Download Summary Excel File,Télécharger le fichier Excel de synthèse,Descargar el archivo Excel de resumen,,
template,report.drivers,Perception of trust,Perception de la confiance,Percepción de la confianza,,
template,report.exp_questions,Experiences,Expériences,Experiencias,,
template,report.gender,Gender and Age,Genre et âge,Género y edad,,
template,report.geographic_distribution,Geographic distribution,Distribution géographique,Muestreo,,
template,report.insights,Key insights,Points clés,Puntos clave,,
template,report.intention_questions,Intention,Intentions,Intenciones,,
template,report.knowledge_questions,Awareness of communities,Sensibilisation des communautés,Conocimiento de las comunidades,,
template,report.methods,Methods,Méthodes,Métodos,,
template,report.methods_metrics,Methods and Metrics,Méthodes et indicateurs,Métodos e indicadores,,
template,report.metrics,Metrics,Indicateurs,Indicadores,,
template,report.results,Survey Results,Résultats de l'enquête,Resultados de la encuesta,,
template,report.sampling,Sampling,Échantillonnage,Muestreo,,
template,report.score,Scores,Scores,Puntuaciones,,
template,report.score_factors,Score by factors,Score par facteurs,Puntuación por factores,,
template,report.score_overall,Overall Score,Score global,Puntuación general,,
template,report.score_profile,Score by respondent profile,Score par profil des répondants,Puntuación por perfil de los encuestados,,
template,report.scoring_methods,Scoring methodology,Méthodologie de calcul des scores,Metodología de puntuación,,
template,report.significance_testing,Significance testing,Tests de significativité,Pruebas de significancia,,
template,report.values,Values,Valeurs,Valores,,
template,report.weighting,Weighting,Pondération,Ponderación,,
template,report.weighting_comparison,Weighting vs. unweighting,Pondération vs. données non pondérées,Ponderación vs. datos no ponderados,,
